2016-12-04 16:31:49,361 [Dummy-1:1800] [django.db.backends:89] [utils:execute] [DEBUG]- (0.038) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 16:31:49,789 [Dummy-1:1800] [django.db.backends:89] [utils:execute] [DEBUG]- (0.037) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 16:31:49,828 [Dummy-1:1800] [django.db.backends:89] [utils:execute] [DEBUG]- (0.037) SHOW FULL TABLES; args=None
2016-12-04 16:31:49,828 [Dummy-1:1800] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params None)
2016-12-04 16:31:49,921 [Dummy-1:1800] [django.db.backends:89] [utils:execute] [DEBUG]- (0.093) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); args=None
2016-12-04 16:31:50,028 [Dummy-1:1800] [django.db.backends:89] [utils:execute] [DEBUG]- (0.041) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2016-12-04 16:31:50,213 [Dummy-1:1800] [django.db.backends:89] [utils:execute] [DEBUG]- (0.038) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-12-04 16:33:03,934 [Dummy-1:9744] [django.db.backends:89] [utils:execute] [DEBUG]- (0.040) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 16:33:04,220 [Dummy-1:9744] [django.db.backends:89] [utils:execute] [DEBUG]- (0.037) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 16:33:04,259 [Dummy-1:9744] [django.db.backends:89] [utils:execute] [DEBUG]- (0.039) SHOW FULL TABLES; args=None
2016-12-04 16:33:04,301 [Dummy-1:9744] [django.db.backends:89] [utils:execute] [DEBUG]- (0.039) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-12-04 16:35:58,928 [Dummy-1:4276] [django.db.backends:89] [utils:execute] [DEBUG]- (0.038) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 16:35:59,375 [Dummy-1:4276] [django.db.backends:89] [utils:execute] [DEBUG]- (0.042) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 16:35:59,411 [Dummy-1:4276] [django.db.backends:89] [utils:execute] [DEBUG]- (0.037) SHOW FULL TABLES; args=None
2016-12-04 16:35:59,545 [Dummy-1:4276] [django.db.backends:89] [utils:execute] [DEBUG]- (0.038) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-12-04 19:15:58,842 [MainThread:7264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 19:16:15,617 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 19:16:15,944 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 19:16:15,992 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SHOW FULL TABLES; args=None
2016-12-04 19:16:16,101 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-12-04 19:16:16,148 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SHOW FULL TABLES; args=None
2016-12-04 19:16:17,155 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SET foreign_key_checks=0; args=None
2016-12-04 19:16:17,247 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.045) SET foreign_key_checks=1; args=None
2016-12-04 19:16:17,601 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 19:16:17,680 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET foreign_key_checks=0; args=None
2016-12-04 19:16:17,726 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET foreign_key_checks=1; args=None
2016-12-04 19:16:18,305 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2016-12-04 19:16:18,562 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-04 19:16:18,640 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.078) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2016-12-04 19:16:18,671 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.032) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2016-12-04 19:16:18,671 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_3ec8c61c_uniq` UNIQUE (`app_label`, `model`); (params [])
2016-12-04 19:16:18,750 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.078) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_3ec8c61c_uniq` UNIQUE (`app_label`, `model`); args=[]
2016-12-04 19:16:18,780 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SHOW FULL TABLES; args=None
2016-12-04 19:16:18,858 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2016-12-04 19:16:18.781000'); args=['contenttypes', u'0001_initial', u'2016-12-04 19:16:18.781000']
2016-12-04 19:16:18,937 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); (params None)
2016-12-04 19:16:19,000 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); args=None
2016-12-04 19:16:19,030 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
